county_code,county_precinct_id,race,registered_voters
7,13,native_american,59
7,13,other,1488
7,13,white,7644
7,16,aapi,204
7,16,black,1547
7,16,hispanic,894
7,16,native_american,46
7,16,other,1144
7,16,white,5647
7,2,aapi,296
7,2,black,413
7,2,hispanic,349
7,2,native_american,31
7,2,other,873
7,2,white,5561
7,3,aapi,214
7,3,black,467
7,3,hispanic,553
7,3,native_american,39
7,3,other,868
7,3,white,4957
7,4,aapi,179
7,4,black,294
7,4,hispanic,270
7,4,native_american,15
7,4,other,477
7,4,white,3004
7,5,aapi,180
7,5,black,1174
7,5,hispanic,418
7,5,native_american,36
7,5,other,1043
7,5,white,6593
7,8,aapi,177
7,8,black,646
7,8,hispanic,366
7,8,native_american,42
7,8,other,831
7,8,white,5777
8,1,aapi,56
8,1,black,555
8,1,hispanic,173
8,1,native_american,41
8,1,other,769
8,1,white,6259
8,10,aapi,7
8,10,black,163
8,10,hispanic,58
8,10,native_american,9
8,10,other,320
8,10,white,2474
8,11,aapi,24
8,11,black,493
8,11,hispanic,167
8,11,native_american,24
8,11,other,459
8,11,white,3166
8,12,aapi,4
8,12,black,26
8,12,hispanic,34
8,12,native_american,5
8,12,other,199
8,12,white,1986
8,14,aapi,11
8,14,black,43
8,14,hispanic,57
8,14,native_american,5
8,14,other,283
8,14,white,2700
8,15,aapi,10
8,15,black,70
8,15,hispanic,53
8,15,native_american,12
8,15,other,293
8,15,white,2526
8,16,aapi,97
8,16,black,1360
8,16,hispanic,363
8,16,native_american,60
8,16,other,982
8,16,white,4529
8,17,aapi,53
8,17,black,671
8,17,hispanic,342
8,17,native_american,29
8,17,other,799
8,17,white,5559
8,18,aapi,7
8,18,black,141
8,18,hispanic,78
8,18,native_american,9
8,18,other,242
8,18,white,1506
8,2,aapi,45
8,2,black,299
8,2,hispanic,297
8,2,native_american,37
8,2,other,687
8,2,white,3820
8,3,aapi,89
8,3,black,1318
8,3,hispanic,367
8,3,native_american,62
8,3,other,896
8,3,white,4912
8,4,aapi,84
8,4,black,1333
8,4,hispanic,361
8,4,native_american,39
8,4,other,945
8,4,white,6168
8,5,aapi,25
8,5,black,600
8,5,hispanic,337
8,5,native_american,27
8,5,other,557
8,5,white,3395
8,6,aapi,35
8,6,black,233
8,6,hispanic,93
8,6,native_american,23
8,6,other,474
8,6,white,3544
8,7,aapi,23
8,7,black,126
8,7,hispanic,108
8,7,native_american,13
8,7,other,374
8,7,white,2669
8,8,aapi,19
8,8,black,500
8,8,hispanic,147
8,8,native_american,26
8,8,other,663
8,8,white,4608
8,9,aapi,1
8,9,black,2
8,9,hispanic,27
8,9,native_american,3
8,9,other,126
8,9,white,1331
9,1,aapi,53
9,1,black,3641
9,1,hispanic,217
9,1,native_american,34
9,1,other,705
9,1,white,6291
10,11062,aapi,2
10,11062,black,23
10,11062,hispanic,21
10,11062,native_american,6
10,11062,other,53
10,11062,white,987
10,1144,aapi,19
10,1144,black,181
10,1144,hispanic,60
10,1144,native_american,13
10,1144,other,183
10,1144,white,1774
10,1157,aapi,29
10,1157,black,670
10,1157,hispanic,95
10,1157,native_american,27
10,1157,other,402
10,1157,white,5570
10,1642,aapi,3
10,1642,black,90
10,1642,hispanic,56
10,1642,native_american,7
10,1642,other,86
10,1642,white,960
10,518,aapi,1
10,518,black,253
10,518,hispanic,4
10,518,native_american,3
10,518,other,58
10,518,white,877
11,EM1,aapi,7
11,EM1,black,1817
11,EM1,hispanic,11
11,EM1,native_american,12
11,EM1,other,202
11,EM1,white,123
11,EM2,aapi,9
11,EM2,black,3498
11,EM2,hispanic,15
11,EM2,native_american,7
11,EM2,other,336
11,EM2,white,314
11,EM3,aapi,16
11,EM3,black,2118
11,EM3,hispanic,48
11,EM3,native_american,28
11,EM3,other,316
11,EM3,white,1287
11,EM4,aapi,1
11,EM4,black,1920
11,EM4,hispanic,15
11,EM4,native_american,4
11,EM4,other,198
11,EM4,white,198
11,EM5,aapi,13
11,EM5,black,1698
11,EM5,hispanic,27
11,EM5,native_american,13
11,EM5,other,206
11,EM5,white,687
11,GF1,aapi,51
11,GF1,black,4949
11,GF1,hispanic,79
11,GF1,native_american,34
11,GF1,other,559
11,GF1,white,1146
11,GF2,aapi,3
11,GF2,black,1672
11,GF2,hispanic,34
11,GF2,native_american,13
11,GF2,other,226
11,GF2,white,332
11,GF3,aapi,5
11,GF3,black,2722
11,GF3,hispanic,24
11,GF3,native_american,13
11,GF3,other,291
11,GF3,white,347
11,GF4,aapi,6
11,GF4,black,1735
11,GF4,hispanic,51
11,GF4,native_american,10
11,GF4,other,212
11,GF4,white,389
11,GF5,aapi,6
11,GF5,black,3959
11,GF5,hispanic,91
11,GF5,native_american,15
11,GF5,other,430
11,GF5,white,534
11,HA1,aapi,30
11,HA1,black,2809
11,HA1,hispanic,73
11,HA1,native_american,17
11,HA1,other,298
11,HA1,white,394
11,HA2,aapi,61
11,HA2,black,1912
11,HA2,hispanic,89
11,HA2,native_american,26
11,HA2,other,387
11,HA2,white,2032
11,HA3,aapi,102
11,HA3,black,5018
11,HA3,hispanic,107
11,HA3,native_american,33
11,HA3,other,631
11,HA3,white,1992
11,HA4,aapi,205
11,HA4,black,1515
11,HA4,hispanic,72
11,HA4,native_american,20
11,HA4,other,412
11,HA4,white,3003
11,HO1,aapi,70
11,HO1,black,743
11,HO1,hispanic,31
11,HO1,native_american,12
11,HO1,other,229
11,HO1,white,2419
11,HO2,aapi,84
11,HO2,black,727
11,HO2,hispanic,54
11,HO2,native_american,13
11,HO2,other,296
11,HO2,white,2499
11,HO3,aapi,325
11,HO3,black,1970
11,HO3,hispanic,154
11,HO3,native_american,40
11,HO3,other,657
11,HO3,white,3903
11,HO4,aapi,47
11,HO4,black,671
11,HO4,hispanic,30
11,HO4,native_american,4
11,HO4,other,181
11,HO4,white,879
11,HO5,aapi,37
11,HO5,black,1292
11,HO5,hispanic,59
11,HO5,native_american,15
11,HO5,other,199
11,HO5,white,927
11,HO6,aapi,31
11,HO6,black,642
11,HO6,hispanic,43
11,HO6,native_american,8
11,HO6,other,203
11,HO6,white,1453
11,HO7,aapi,55
11,HO7,black,521
11,HO7,hispanic,31
11,HO7,native_american,9
11,HO7,other,197
11,HO7,white,2244
11,RU1,aapi,115
11,RU1,black,1954
11,RU1,hispanic,99
11,RU1,native_american,24
11,RU1,other,464
11,RU1,white,3467
11,RU2,aapi,20
11,RU2,black,997
11,RU2,hispanic,71
11,RU2,native_american,16
11,RU2,other,285
11,RU2,white,2209
11,VV1,aapi,48
11,VV1,black,1655
11,VV1,hispanic,63
11,VV1,native_american,26
11,VV1,other,367
11,VV1,white,1910
11,VV2,aapi,15
11,VV2,black,1227
11,VV2,hispanic,36
11,VV2,native_american,14
11,VV2,other,185
11,VV2,white,748
11,VV3,aapi,7
11,VV3,black,2832
11,VV3,hispanic,29
11,VV3,native_american,19
11,VV3,other,252
11,VV3,white,294
11,VV4,aapi,15
11,VV4,black,3486
11,VV4,hispanic,35
11,VV4,native_american,8
11,VV4,other,376
11,VV4,white,526
11,VV5,aapi,39
11,VV5,black,581
11,VV5,hispanic,33
11,VV5,native_american,17
11,VV5,other,201
11,VV5,white,1577
11,VV6,aapi,33
11,VV6,black,966
11,VV6,hispanic,31
11,VV6,native_american,17
11,VV6,other,244
11,VV6,white,1918
11,WA1,aapi,13
11,WA1,black,679
11,WA1,hispanic,27
11,WA1,native_american,13
11,WA1,other,223
11,WA1,white,1798
11,WA2,aapi,37
11,WA2,black,909
11,WA2,hispanic,40
11,WA2,native_american,13
11,WA2,other,245
11,WA2,white,2136
12,1,aapi,48
12,1,black,1590
12,1,hispanic,67
12,1,native_american,18
12,1,other,465
12,1,white,5912
13,1,aapi,10
13,1,black,39
13,1,hispanic,19
13,1,native_american,7
13,1,other,202
13,1,white,3138
13,2,aapi,4
13,2,black,143
13,2,hispanic,17
13,2,native_american,7
13,2,other,271
13,2,white,3856
13,3,aapi,5
13,3,black,133
13,3,hispanic,43
13,3,native_american,18
13,3,other,287
13,3,white,3991
14,1199,aapi,19
14,1199,black,2384
14,1199,hispanic,75
14,1199,native_american,11
14,1199,other,305
14,1199,white,1441
14,1230,aapi,1
14,1230,black,81
14,1230,hispanic,9
14,1230,native_american,1
14,1230,other,17
14,1230,white,262
14,1402,aapi,4
14,1402,black,462
14,1402,hispanic,10
14,1402,native_american,2
14,1402,other,69
14,1402,white,529
14,1650,aapi,8
