County,Precinct,Biden VBM,Biden EV,Biden ED,Ossoff VBM,Ossoff EV,Ossoff ED,Registered Voters,Trump Election Day Votes,Trump Advanced Voting Votes,Trump Absentee by Mail Votes,Trump Provisional Votes,Trump Total Votes,Biden Election Day Votes,Biden Advanced Voting Votes,Biden Absentee by Mail Votes,Biden Provisional Votes,Biden Total Votes,Registered Voters,Perdue Election Day Votes,Perdue Advanced Voting Votes,Perdue Absentee by Mail Votes,Perdue Provisional Votes,Perdue Total Votes,Ossoff Election Day Votes,Ossoff Advanced Voting Votes,Ossoff Absentee by Mail Votes,Ossoff Provisional Votes,Ossoff Total Votes
Calhoun,2,50.00%,23.00%,20.20%,48.80%,22.10%,20.60%,662,87,201,62,0,350,22,60,62,0,144,662,85,201,62,0,348,22,57,59,0,138
Calhoun,3,85.10%,77.60%,76.80%,82.20%,74.80%,75.80%,523,23,30,11,0,64,76,104,63,0,243,523,23,33,13,0,69,72,98,60,0,230
Calhoun,4,70.70%,57.00%,54.00%,70.50%,56.20%,51.20%,594,57,77,27,0,161,67,102,65,0,234,594,60,78,26,0,164,63,100,62,0,225
Calhoun,5,89.50%,60.20%,75.20%,91.30%,59.20%,75.40%,684,35,70,16,0,121,106,106,136,0,348,684,34,71,13,0,118,104,103,136,0,343
Camden,1,60.40%,21.20%,18.50%,57.80%,21.20%,18.90%,979,220,215,55,0,490,50,58,84,0,192,979,214,212,54,0,480,50,57,74,0,181
Camden,2,53.90%,18.20%,21.60%,51.50%,17.80%,22.40%,1530,276,467,143,0,886,76,104,167,0,347,1530,266,467,143,0,876,77,101,152,0,330
Camden,3,64.80%,34.40%,27.10%,63.80%,34.50%,27.10%,1973,257,479,105,1,842,96,251,193,0,540,1973,255,468,101,1,825,95,247,178,0,520
Camden,4,44.60%,10.80%,6.00%,39.80%,10.20%,8.40%,698,126,207,51,0,384,8,25,41,0,74,698,120,202,50,0,372,11,23,33,0,67
Camden,5,43.50%,20.60%,11.50%,40.00%,20.60%,11.80%,1834,361,583,131,0,1075,46,151,101,1,299,1834,353,571,129,0,1053,46,148,86,1,281
Camden,6,44.80%,23.70%,22.40%,39.80%,22.90%,24.50%,2782,295,896,164,0,1355,85,279,133,0,497,2782,278,887,160,0,1325,90,264,106,0,460
Camden,7,77.00%,46.80%,40.90%,76.10%,46.00%,41.30%,2599,188,485,74,0,747,130,426,248,0,804,2599,183,473,71,0,727,129,403,226,0,758
Camden,8,62.00%,35.00%,28.80%,61.30%,33.60%,31.70%,2274,178,495,90,0,763,72,266,147,0,485,2274,164,498,82,0,744,76,252,130,0,458
Camden,9,56.40%,31.60%,28.30%,54.10%,30.90%,26.70%,6866,486,1942,397,0,2825,192,898,514,0,1604,6866,480,1911,392,0,2783,175,854,462,0,1491
Camden,10,54.50%,38.90%,36.00%,54.80%,38.10%,40.50%,2095,158,316,81,0,555,88,201,97,1,387,2095,135,314,75,0,524,91,193,91,1,376
Camden,11,61.30%,37.80%,29.20%,61.20%,36.60%,27.60%,3218,335,714,173,0,1222,138,433,274,0,845,3218,336,707,163,0,1206,128,408,257,0,793
Camden,12,61.00%,28.10%,18.60%,58.10%,28.10%,17.70%,2139,207,646,157,3,1013,48,252,246,0,546,2139,202,637,161,3,1003,44,249,223,0,516
Camden,13,56.50%,28.40%,21.80%,53.60%,27.70%,22.20%,2816,312,822,174,0,1308,86,326,226,1,639,2816,291,808,176,0,1275,82,310,203,1,596
Camden,14,45.50%,22.70%,18.70%,41.00%,21.60%,18.40%,3147,222,1198,366,0,1786,51,351,306,0,708,3147,218,1200,376,0,1794,49,330,261,0,640
Candler,CAND,50.10%,23.10%,31.00%,49.80%,23.10%,30.20%,6300,431,2327,375,0,3133,193,699,376,1,1269,6300,435,2281,361,0,3077,187,687,358,1,1233
Carroll,1006,24.30%,7.40%,4.30%,23.90%,8.30%,4.20%,1165,441,261,84,1,787,20,21,27,0,68,1165,436,255,83,1,775,19,23,26,0,68
Carroll,1111,43.90%,23.60%,17.40%,41.50%,23.50%,17.50%,3289,621,659,202,1,1483,130,204,158,1,493,3289,604,645,203,1,1453,127,198,144,1,470
Carroll,1122,44.30%,24.40%,22.50%,45.20%,24.30%,22.60%,4459,486,1316,249,2,2053,141,425,198,1,765,4459,475,1296,233,2,2006,139,415,192,0,746
Carroll,1152,28.80%,11.20%,6.60%,25.90%,9.90%,6.50%,1775,449,602,136,1,1188,32,76,55,0,163,1775,442,608,137,1,1188,31,67,48,0,146
Carroll,1240,37.60%,14.70%,11.60%,34.90%,14.90%,10.10%,2641,625,668,159,0,1452,82,115,96,0,293,2641,626,658,157,0,1441,70,115,84,0,269
Carroll,1371,31.30%,17.00%,12.40%,29.30%,17.00%,12.80%,1564,380,381,123,2,886,54,78,56,0,188,1564,373,377,123,1,874,55,77,51,0,183
Carroll,1483,41.30%,19.20%,19.10%,41.50%,18.30%,20.10%,3695,445,1392,257,1,2095,103,331,181,2,617,3695,429,1383,250,1,2063,107,309,177,1,594
Carroll,1496,42.30%,21.30%,16.80%,38.80%,20.80%,19.20%,1547,242,402,94,0,738,49,109,69,0,227,1547,227,400,93,0,720,54,105,59,0,218
Carroll,1533,32.30%,13.60%,8.00%,31.70%,13.40%,7.40%,1920,540,496,132,0,1168,46,78,63,1,188,1920,540,496,127,0,1163,43,77,59,0,179
Carroll,1540,51.50%,24.70%,16.00%,48.80%,24.10%,16.20%,3867,835,1056,260,0,2151,159,347,276,0,782,3867,815,1048,261,0,2124,158,333,249,0,740
Carroll,1542,40.00%,15.10%,13.60%,37.90%,14.70%,13.60%,2408,481,779,141,0,1401,76,139,94,0,309,2408,475,773,141,0,1389,75,133,86,0,294
Carroll,501,62.40%,36.00%,33.60%,60.80%,36.20%,34.80%,4779,379,1026,179,1,1585,192,577,297,0,1066,4779,361,1009,179,0,1549,192,572,278,1,1043
Carroll,640,37.20%,17.80%,20.90%,36.10%,17.50%,20.90%,2942,276,997,216,1,1490,73,216,128,0,417,2942,272,988,205,1,1466,72,209,116,0,397
Carroll,641,52.40%,25.80%,23.90%,52.20%,26.20%,24.20%,5472,529,1526,303,0,2358,166,530,334,0,1030,5472,503,1487,287,0,2277,161,527,314,0,1002
Carroll,642,66.80%,46.70%,46.20%,64.50%,47.50%,48.30%,7250,410,1359,298,0,2067,351,1189,599,1,2140,7250,389,1322,297,0,2008,363,1195,539,1,2098
Carroll,649,37.40%,16.30%,14.50%,37.40%,16.40%,14.70%,4354,641,1257,254,2,2154,107,245,152,2,506,4354,625,1232,234,2,2093,106,241,140,2,489
Carroll,650,54.80%,33.30%,23.50%,54.30%,33.40%,24.10%,3700,550,810,164,3,1527,169,405,199,1,774,3700,537,799,159,1,1496,170,401,189,1,761
Carroll,682,33.70%,14.50%,6.80%,33.70%,14.20%,9.40%,2190,544,559,136,0,1239,40,95,69,0,204,2190,523,558,130,0,1211,54,92,66,0,212
Carroll,713,37.00%,12.70%,9.00%,36.00%,11.50%,8.00%,3200,635,1017,209,4,1865,63,148,123,0,334,3200,631,1023,203,4,1861,55,133,114,0,302
Carroll,714A1,72.80%,59.90%,67.50%,73.00%,59.10%,65.00%,4380,138,537,126,1,802,286,803,337,3,1429,4380,143,538,115,1,797,266,779,311,2,1358
Carroll,714A2,54.90%,40.60%,34.90%,53.60%,40.80%,36.30%,1671,98,395,96,1,590,53,270,117,0,440,1671,92,389,91,1,573,53,268,105,0,426
Carroll,714A3,58.60%,40.70%,41.40%,55.60%,39.30%,39.20%,3736,200,960,166,1,1327,141,658,235,1,1035,3736,208,974,170,1,1353,134,631,213,1,979
Carroll,714A4,62.10%,38.80%,57.90%,57.50%,35.10%,56.70%,2164,113,464,88,2,667,157,294,144,1,596,2164,118,490,94,2,704,157,265,127,0,549
Carroll,714A5,57.30%,39.90%,34.60%,54.60%,39.00%,32.30%,2620,158,685,150,1,994,83,454,201,1,739,2620,158,686,149,1,994,76,438,179,0,693
Carroll,714A6,43.60%,32.60%,40.10%,40.50%,31.40%,41.70%,1628,102,450,155,1,708,69,218,120,0,407,1628,97,459,160,1,717,70,210,109,0,389
Carroll,714BN,53.80%,30.40%,29.00%,49.10%,29.70%,28.20%,1466,124,428,85,1,638,51,187,99,0,337,1466,124,422,86,1,633,49,178,83,0,310
Carroll,714BW,46.10%,24.20%,18.30%,44.00%,22.00%,17.10%,2297,338,725,151,2,1216,76,232,129,0,437,2297,338,739,150,2,1229,70,209,118,0,397
Carroll,715,47.60%,22.70%,11.50%,48.40%,21.40%,10.50%,1668,291,469,86,1,847,38,138,78,0,254,1668,289,471,80,0,840,34,128,75,0,237
Catoosa,BLCK,34.50%,15.40%,9.60%,35.70%,15.70%,9.30%,1952,386,588,114,0,1088,40,107,60,1,208,1952,371,576,108,0,1055,37,107,60,1,205
Catoosa,BOYN,45.20%,18.70%,15.90%,41.80%,18.50%,15.80%,6027,685,2445,368,3,3501,130,562,304,0,996,6027,669,2398,372,2,3441,126,544,267,0,937
Catoosa,CAKT,39.30%,15.80%,10.00%,38.50%,16.60%,10.70%,2611,485,877,170,0,1532,54,165,110,0,329,2611,475,838,163,0,1476,57,167,102,0,326
Catoosa,CHAM,38.40%,13.90%,14.50%,37.00%,13.90%,13.90%,2552,328,1130,180,3,1641,56,183,112,0,351,2552,326,1119,177,2,1624,52,181,104,1,338
Catoosa,FT O,40.80%,22.50%,22.30%,39.80%,22.30%,23.10%,4054,378,1296,314,1,1989,109,376,216,0,701,4054,360,1261,301,0,1922,107,362,199,1,669
Catoosa,GRAY,45.70%,17.30%,15.50%,43.00%,16.80%,16.10%,4501,564,1617,255,3,2439,104,339,215,0,658,4501,549,1598,249,2,2398,106,322,188,0,616
Catoosa,LAKE,40.50%,19.10%,20.00%,40.80%,19.00%,21.00%,3572,354,1098,201,1,1654,88,259,137,1,485,3572,333,1063,187,1,1584,88,249,129,1,467
Catoosa,POPS,41.40%,16.00%,13.20%,39.80%,16.10%,14.20%,4191,474,1691,268,0,2433,71,321,189,1,582,4191,460,1661,254,0,2375,75,318,168,1,562
Catoosa,RING,44.50%,20.40%,20.20%,43.00%,19.80%,20.20%,7414,581,2980,516,3,4080,148,766,413,0,1327,7414,565,2946,495,3,4009,144,729,374,0,1247
Catoosa,WEST,38.00%,20.70%,18.20%,38.00%,20.20%,18.90%,5895,412,2126,418,2,2958,92,554,256,0,902,5895,396,2093,386,2,2877,93,530,237,0,860
Catoosa,WOOD,44.40%,14.00%,13.70%,42.60%,13.90%,13.40%,2946,523,1177,148,4,1852,84,191,118,0,393,2946,513,1151,143,3,1810,79,186,106,1,372
Charlton,2,68.40%,48.30%,57.80%,65.10%,46.40%,53.40%,2420,135,478,98,0,711,185,447,212,0,844,2420,142,478,103,0,723,163,414,192,0,769
Charlton,3B,4.30%,17.60%,2.90%,4.40%,16.70%,5.20%,509,232,56,44,0,332,7,12,2,0,21,509,220,55,43,0,318,12,11,2,0,25
Charlton,3S,18.60%,2.80%,2.90%,13.00%,4.40%,3.90%,661,232,137,48,1,418,7,4,11,0,22,661,223,130,47,1,401,9,6,7,0,22
Charlton,4A,25.90%,7.10%,5.00%,21.30%,6.60%,6.50%,748,134,341,60,0,535,7,26,21,0,54,748,129,339,59,0,527,9,24,16,0,49
Charlton,4H,19.40%,9.40%,9.90%,17.70%,9.30%,11.30%,864,155,329,54,0,538,17,34,13,0,64,864,149,322,51,0,522,19,33,11,0,63
Charlton,5F,28.40%,9.40%,2.60%,21.20%,9.10%,1.30%,767,75,358,53,0,486,2,37,21,0,60,767,76,350,52,0,478,1,35,14,0,50
Charlton,5R,25.00%,10.30%,2.70%,26.10%,11.30%,4.20%,266,70,105,18,1,194,2,12,6,0,20,266,68,102,17,0,187,3,13,6,0,22
Charlton,5W,26.70%,4.20%,6.20%,21.40%,4.30%,6.30%,317,91,92,22,0,205,6,4,8,0,18,317,90,89,22,0,201,6,4,6,0,16
Chatham,1-01C,74.60%,63.40%,39.40%,71.90%,63.10%,39.00%,3187,318,392,242,0,952,207,679,711,0,1597,3187,319,393,261,0,973,204,671,668,0,1543
Chatham,1-05C,72.10%,62.90%,43.90%,72.10%,62.30%,43.30%,2106,206,241,147,1,595,162,408,379,0,949,2106,211,241,141,0,593,161,399,365,0,925
Chatham,1-06C,60.90%,46.30%,24.80%,57.90%,45.70%,24.20%,2035,339,300,214,1,854,110,259,333,2,704,2035,340,299,225,1,865,107,252,309,2,670
Chatham,1-08C,61.40%,53.90%,31.30%,58.50%,53.20%,29.90%,1667,286,207,135,0,628,129,242,215,1,587,1667,289,206,139,0,634,122,234,196,1,553
Chatham,1-09C,73.00%,61.30%,45.50%,67.20%,61.40%,45.90%,739,81,60,37,3,181,70,95,100,0,265,739,78,59,43,2,182,67,94,88,1,250
Chatham,1-10C,47.20%,38.70%,17.90%,42.40%,36.30%,18.20%,1101,319,166,140,1,626,70,105,125,0,300,1101,322,172,148,1,643,72,98,109,0,279
Chatham,1-12C,49.60%,35.30%,19.50%,44.50%,33.60%,15.90%,1909,483,363,233,1,1080,117,198,229,0,544,1909,506,368,252,1,1127,96,186,202,0,484
Chatham,1-13C,63.10%,37.40%,27.10%,61.50%,37.30%,29.00%,1396,246,236,106,1,589,92,141,181,0,414,1396,237,237,104,1,579,97,141,166,0,404
Chatham,1-14C,54.40%,34.20%,23.50%,52.20%,35.30%,24.90%,1718,240,349,195,1,785,74,181,233,0,488,1718,240,342,196,1,779,80,187,214,0,481
Chatham,1-16C,46.20%,25.30%,19.30%,46.50%,24.30%,18.90%,2905,583,640,269,5,1497,140,217,231,1,589,2905,581,648,258,4,1491,135,208,224,1,568
Chatham,1-17C,54.10%,24.30%,21.00%,50.50%,24.30%,19.00%,3136,447,811,408,0,1666,118,260,481,1,860,3136,457,805,418,0,1680,106,258,427,1,792
Chatham,2-02C,84.50%,78.10%,83.00%,83.00%,75.70%,82.60%,1714,44,74,42,1,161,212,264,229,8,713,1714,45,82,43,1,171,212,256,210,7,685
Chatham,2-03C,93.30%,83.80%,80.90%,91.30%,83.80%,78.00%,1609,48,49,18,0,115,202,253,251,1,707,1609,55,48,23,0,126,194,249,242,1,686
Chatham,2-04C,95.40%,93.70%,87.90%,95.10%,93.40%,87.60%,3178,59,41,29,0,129,428,610,607,2,1647,3178,60,42,30,0,132,421,598,577,1,1597
Chatham,2-05C,93.20%,90.10%,83.40%,94.00%,89.60%,83.30%,2079,54,54,26,1,135,273,492,355,3,1123,2079,53,56,22,1,132,267,482,346,3,1098
Chatham,2-06C,95.20%,78.20%,81.20%,94.60%,83.50%,80.10%,759,29,31,5,0,65,122,111,99,3,335,759,30,23,5,0,58,118,116,87,3,324
Chatham,2-07C,90.00%,88.00%,78.60%,88.30%,87.70%,76.50%,2808,94,78,48,0,220,343,570,431,3,1347,2808,101,79,54,0,234,327,563,407,2,1299
Chatham,2-09C,92.20%,87.60%,79.20%,92.60%,87.90%,77.80%,3342,100,102,54,0,256,376,720,642,4,1742,3342,105,98,49,0,252,365,711,616,4,1696
Chatham,2-11C,89.50%,80.50%,81.90%,89.30%,79.70%,81.60%,1900,66,65,32,0,163,295,268,273,3,839,1900,66,67,31,0,164,290,263,260,3,816
Chatham,2-12C,95.50%,86.50%,76.90%,94.30%,86.80%,77.60%,1683,56,53,14,0,123,182,339,298,4,823,1683,53,51,17,0,121,180,334,279,4,797
Chatham,3-01C,68.70%,66.10%,32.40%,63.10%,62.70%,37.10%,458,48,38,36,0,122,22,74,79,1,176,458,44,41,41,0,126,25,69,70,1,165
Chatham,3-02C,76.20%,62.80%,38.80%,70.90%,60.60%,37.70%,1598,124,185,99,2,410,79,312,317,1,709,1598,127,193,115,2,437,78,297,280,0,655
Chatham,3-03C,86.70%,87.20%,93.50%,88.00%,86.40%,90.30%,1185,14,30,20,0,64,199,204,130,4,537,1185,20,31,17,1,69,192,197,125,3,517
Chatham,3-04C,94.60%,94.60%,89.80%,93.60%,93.00%,89.90%,1558,35,14,14,0,63,308,246,244,0,798,1558,34,18,16,0,68,301,239,235,0,775
Chatham,3-05C,81.90%,74.50%,68.40%,83.90%,75.00%,71.00%,2107,121,117,62,0,300,260,341,281,2,884,2107,108,112,52,0,272,263,336,270,2,871
Chatham,3-08C,82.20%,72.50%,60.60%,82.10%,72.00%,60.30%,1210,82,93,42,0,217,126,245,194,0,565,1210,83,93,42,0,218,126,239,192,0,557
Chatham,3-09C,62.60%,49.70%,26.30%,60.80%,48.30%,31.70%,664,166,76,52,2,296,60,75,87,0,222,664,156,77,51,1,285,72,72,79,1,224
Chatham,3-10C,91.50%,88.40%,78.00%,90.80%,87.70%,80.00%,2640,108,69,43,0,220,380,527,460,2,1369,2640,98,72,45,0,215,392,514,444,1,1351
Chatham,3-11C,85.20%,80.70%,78.90%,84.90%,79.90%,80.30%,1481,61,64,36,1,162,230,267,208,2,707,1481,56,66,35,1,158,231,263,197,2,693
Chatham,3-12C,74.00%,52.70%,41.00%,74.40%,52.70%,43.60%,1678,258,184,86,0,528,178,205,245,1,629,1678,244,181,81,0,506,189,202,236,0,627
Chatham,3-13C,66.60%,61.90%,56.30%,67.10%,60.60%,55.80%,2303,165,230,130,0,525,211,373,259,2,845,2303,164,237,122,0,523,206,364,249,1,820
Chatham,3-14C,83.10%,74.60%,74.00%,82.30%,75.00%,76.90%,2381,88,163,93,0,344,250,478,457,1,1186,2381,77,158,94,0,329,255,475,436,1,1167
Chatham,3-15C,63.10%,51.40%,53.30%,58.90%,49.80%,50.80%,816,57,125,96,0,278,65,132,164,0,361,816,60,128,104,0,292,62,127,149,0,338
Chatham,4-02C,61.40%,32.10%,24.50%,63.00%,32.80%,26.80%,2472,332,531,181,0,1044,108,251,288,0,647,2472,317,519,166,0,1002,116,253,283,0,652
Chatham,4-04C,56.70%,28.60%,17.20%,53.60%,28.20%,17.80%,2470,478,511,231,2,1222,98,205,303,2,608,2470,469,511,238,3,1221,101,201,275,1,578
Chatham,4-05C,56.10%,31.10%,22.60%,53.00%,31.70%,23.10%,2244,464,457,203,1,1125,136,206,259,0,601,2244,453,452,205,1,1111,136,210,231,0,577
Chatham,4-06C,52.60%,24.00%,19.70%,51.20%,24.60%,19.30%,2252,449,553,221,3,1226,111,175,245,0,531,2252,451,551,224,2,1228,108,180,235,0,523
Chatham,4-07C,60.60%,29.20%,20.90%,57.50%,28.20%,21.20%,3370,532,730,302,4,1568,142,301,464,0,907,3370,517,734,314,4,1569,140,288,425,0,853
Chatham,4-08C,51.20%,24.90%,17.90%,48.40%,24.00%,17.60%,2678,518,656,322,1,1497,112,218,338,1,669,2678,522,665,332,1,1520,111,210,312,1,634
Chatham,4-10C,60.80%,40.80%,29.20%,54.70%,39.00%,28.60%,1469,343,212,118,1,674,141,146,183,1,471,1469,346,216,131,1,694,138,138,158,1,435
Chatham,4-11C,60.80%,40.10%,28.10%,60.80%,40.50%,27.10%,1640,481,169,121,1,772,187,113,188,1,489,1640,487,166,118,1,772,181,113,183,0,477
Chatham,4-12C,48.80%,26.80%,17.50%,45.50%,24.50%,14.70%,2294,549,446,355,3,1353,117,163,338,0,618,2294,572,459,365,3,1399,99,149,305,0,553
Chatham,4-13C,49.30%,32.30%,16.50%,42.80%,29.90%,13.30%,2469,470,469,434,2,1375,92,224,422,1,739,2469,499,485,482,2,1468,76,207,360,1,644
Chatham,4-14C,55.70%,31.90%,14.60%,50.80%,29.80%,11.40%,1744,360,311,275,2,948,61,146,346,1,554,1744,371,321,297,3,992,48,136,307,0,491
Chatham,4-15C,48.60%,32.40%,16.30%,42.80%,30.20%,14.40%,0,289,313,386,4,992,57,150,365,0,572,0,298,321,421,4,1044,51,139,315,0,505
Chatham,5-01C,78.70%,78.80%,66.50%,78.80%,77.70%,67.30%,1063,69,49,37,0,155,137,182,137,0,456,1063,67,50,34,0,151,138,174,126,0,438
Chatham,5-02C,92.10%,90.50%,79.40%,94.50%,91.50%,79.60%,783,27,12,11,1,51,108,114,128,0,350,783,27,11,7,1,46,109,118,120,0,347
Chatham,5-03C,97.40%,96.00%,95.20%,97.80%,95.30%,95.40%,1078,10,7,5,0,22,191,166,187,6,550,1078,9,8,4,0,21,182,164,176,6,528
Chatham,5-05C,97.50%,97.50%,94.70%,97.40%,96.90%,93.70%,2574,24,15,15,0,54,426,575,590,2,1593,2574,28,18,15,0,61,417,570,563,1,1551
Chatham,5-06C,88.90%,86.20%,76.20%,89.70%,86.80%,76.40%,2598,82,70,43,2,197,262,439,346,7,1054,2598,80,66,37,1,184,255,435,322,7,1019
Chatham,5-07C,78.70%,77.80%,68.50%,80.10%,79.40%,67.80%,1856,102,95,64,0,261,218,333,236,4,791,1856,101,86,56,0,243,208,331,225,5,769
Chatham,5-08C,80.50%,71.40%,65.50%,81.00%,71.80%,67.20%,1848,100,132,72,0,304,187,329,298,3,817,1848,94,126,65,0,285,190,321,278,3,792
Chatham,5-10C,96.70%,94.30%,93.50%,96.50%,93.60%,93.60%,3507,38,41,23,0,102,543,679,683,5,1910,3507,37,45,24,0,106,535,661,658,5,1859
Chatham,5-11C,70.50%,80.80%,79.20%,69.50%,80.70%,80.80%,3019,83,144,169,2,398,316,605,404,7,1332,3019,74,142,165,2,383,314,593,376,6,1289
Chatham,6-01C,72.10%,69.50%,52.00%,72.00%,69.30%,54.70%,1919,157,148,94,3,402,171,338,243,2,754,1919,145,149,87,3,384,177,336,224,2,739
Chatham,6-02C,61.40%,42.30%,28.00%,58.90%,42.30%,27.30%,2290,391,400,205,0,996,151,293,326,1,771,2290,394,395,217,0,1006,147,289,311,1,748
Chatham,6-03C,74.20%,58.20%,46.20%,71.10%,58.00%,45.10%,2736,270,340,161,1,772,231,474,463,2,1170,2736,276,341,176,1,794,227,471,432,1,1131
Chatham,6-05C,69.80%,64.20%,59.20%,70.90%,64.50%,59.90%,1993,145,179,112,0,436,210,321,259,0,790,1993,144,177,102,0,423,215,321,249,0,785
Chatham,6-06C,62.00%,46.70%,49.80%,61.50%,47.20%,50.80%,1543,140,209,93,0,442,139,183,152,0,474,1543,130,205,89,0,424,134,183,142,0,459
Chatham,6-08C,77.20%,73.10%,68.90%,78.40%,72.60%,69.40%,2194,103,147,84,0,334,226,400,284,2,912,2194,98,147,72,0,317,220,389,262,2,873
Chatham,6-09C,64.10%,56.40%,47.40%,64.60%,56.80%,48.50%,3319,308,428,240,1,977,272,553,429,7,1261,3319,299,417,228,1,945,276,548,416,6,1246
Chatham,6-10C,68.20%,49.00%,40.70%,67.60%,49.10%,40.90%,4184,387,682,296,2,1367,264,655,635,3,1557,4184,387,677,291,1,1356,263,653,608,5,1529
Chatham,6-11C,78.50%,68.00%,55.60%,79.00%,68.70%,57.50%,5149,343,465,182,4,994,429,990,666,6,2091,5149,325,451,171,4,951,440,990,645,6,2081
Chatham,7-01C,56.90%,42.70%,38.20%,58.10%,43.70%,38.00%,1542,194,193,109,0,496,120,144,144,0,408,1542,186,184,104,0,474,114,143,144,0,401
Chatham,7-03C,52.20%,32.30%,24.60%,53.20%,31.90%,24.20%,1290,304,130,76,0,510,99,62,83,0,244,1290,298,130,72,0,500,95,61,82,0,238
Chatham,7-04C,85.80%,79.50%,66.40%,86.60%,79.50%,68.30%,3067,197,185,59,0,441,388,719,356,1,1464,3067,184,182,54,0,420,395,705,348,1,1449
Chatham,7-05C,75.50%,57.30%,49.80%,73.80%,59.10%,52.20%,1305,140,134,37,0,311,139,180,114,0,433,1305,131,128,38,0,297,143,185,107,0,435
Chatham,7-06C,68.40%,45.60%,43.60%,68.90%,46.00%,44.10%,3555,241,607,181,1,1030,186,508,392,1,1087,3555,237,595,171,1,1004,187,506,379,1,1073
Chatham,7-07C,53.80%,33.30%,33.00%,52.30%,33.00%,33.00%,3932,275,930,373,3,1581,133,464,435,4,1036,3932,271,922,369,1,1563,131,454,404,3,992
Chatham,7-08C,40.10%,17.10%,14.40%,41.70%,16.80%,15.60%,2733,519,651,217,0,1387,86,134,145,1,366,2733,504,642,196,0,1342,92,130,140,1,363
Chatham,7-09C,72.40%,53.90%,48.00%,71.00%,54.50%,48.00%,2823,236,319,147,3,705,219,373,385,2,979,2823,234,314,149,3,700,218,376,365,1,960
Chatham,7-10C,76.20%,63.40%,54.30%,76.30%,64.50%,55.70%,4288,280,450,168,2,900,329,780,537,6,1652,4288,271,430,159,1,861,336,781,511,6,1634
Chatham,7-11C,77.20%,62.20%,48.90%,77.70%,62.40%,51.00%,6469,472,740,246,6,1464,451,1219,831,7,2508,6469,444,729,228,3,1404,459,1210,795,6,2470
Chatham,7-12C,71.10%,55.90%,49.00%,70.60%,56.00%,48.90%,3334,180,548,202,3,933,176,696,497,0,1369,3334,178,546,197,4,925,174,694,472,0,1340
Chatham,7-13C,53.70%,28.90%,24.70%,53.50%,28.20%,23.40%,2513,225,705,358,1,1289,74,286,415,0,775,2513,228,709,350,1,1288,70,278,402,0,750
Chatham,7-14C,73.20%,66.60%,59.70%,72.20%,66.70%,58.70%,7572,398,777,453,1,1629,584,1547,1236,7,3374,7572,399,764,449,3,1615,567,1529,1168,5,3269
Chatham,7-15C,79.20%,67.70%,49.80%,79.00%,68.20%,51.10%,2564,261,211,71,3,546,260,442,270,2,974,2564,253,204,69,3,529,266,437,260,2,965
Chatham,7-16C,56.70%,42.30%,35.70%,56.20%,41.60%,34.80%,3701,231,818,381,7,1437,126,600,499,6,1231,3701,225,819,365,7,1416,118,584,468,6,1176
Chatham,8-01C,84.60%,80.70%,76.10%,83.90%,79.40%,74.20%,850,22,26,16,0,64,66,109,88,4,267,850,23,28,15,0,66,63,108,78,3,252
Chatham,8-02C,88.10%,84.70%,74.00%,86.20%,85.30%,73.60%,1709,71,66,35,0,172,201,365,260,1,827,1709,69,63,39,0,171,192,365,243,0,800
Chatham,8-03C,61.40%,31.80%,25.00%,60.40%,31.80%,25.50%,831,162,103,39,0,304,54,48,62,0,164,831,158,101,38,0,297,54,47,58,0,159
Chatham,8-05C,96.50%,97.30%,91.50%,97.50%,96.80%,90.40%,1543,24,6,6,0,36,258,215,165,1,639,1543,27,7,4,0,38,253,210,156,1,620
Chatham,8-06C,98.20%,96.80%,91.50%,98.70%,97.40%,91.30%,1055,17,5,3,1,26,193,153,161,2,509,1055,17,4,2,1,24,186,149,153,2,490
Chatham,8-07C,96.80%,94.50%,94.00%,97.70%,95.40%,94.00%,630,8,6,3,0,17,125,104,90,1,320,630,8,5,2,0,15,124,104,86,1,315
Chatham,8-08C,96.50%,96.00%,95.60%,97.10%,97.00%,96.10%,1704,15,11,10,0,36,319,266,278,4,867,1704,12,8,8,1,29,314,263,266,3,846
Chatham,8-09C,96.70%,97.50%,96.10%,97.50%,97.50%,96.40%,1362,11,5,7,0,23,261,199,204,8,672,1362,10,5,5,0,20,260,194,196,8,658
Chatham,8-10C,100.00%,98.60%,97.30%,99.10%,97.80%,96.10%,1784,10,4,0,0,14,354,275,360,0,989,1784,14,6,3,0,23,346,270,341,0,957
Chatham,8-11C,98.90%,98.80%,96.60%,97.70%,97.80%,95.80%,1386,9,4,4,0,17,256,317,365,0,938,1386,11,7,8,0,26,254,314,346,0,914
Chatham,8-12C,90.10%,79.70%,78.70%,91.20%,79.10%,79.60%,1310,42,54,17,1,114,158,212,155,1,526,1310,41,56,15,0,112,158,212,156,2,528
Chatham,8-13C,49.50%,28.50%,29.00%,52.10%,27.70%,28.30%,1022,109,103,55,1,268,44,41,54,1,140,1022,108,99,46,1,254,42,38,50,1,131
Chatham,8-15C,92.70%,90.40%,88.30%,92.40%,91.20%,89.10%,1622,27,31,19,1,78,210,293,240,2,745,1622,26,28,19,0,73,210,290,232,3,735
Chatham,8-16C,67.60%,47.50%,43.40%,68.20%,48.50%,43.80%,3087,197,571,231,1,1000,150,516,483,2,1151,3087,195,555,217,1,968,152,523,465,1,1141
