County,Precinct,Biden VBM,Biden EV,Biden ED,Ossoff VBM,Ossoff EV,Ossoff ED,Registered Voters,Trump Election Day Votes,Trump Advanced Voting Votes,Trump Absentee by Mail Votes,Trump Provisional Votes,Trump Total Votes,Biden Election Day Votes,Biden Advanced Voting Votes,Biden Absentee by Mail Votes,Biden Provisional Votes,Biden Total Votes,Registered Voters,Perdue Election Day Votes,Perdue Advanced Voting Votes,Perdue Absentee by Mail Votes,Perdue Provisional Votes,Perdue Total Votes,Ossoff Election Day Votes,Ossoff Advanced Voting Votes,Ossoff Absentee by Mail Votes,Ossoff Provisional Votes,Ossoff Total Votes
Spalding,2,93.00%,85.40%,85.90%,93.30%,87.30%,86.70%,1956,40,47,21,8,116,276,274,278,16,844,1956,35,40,19,9,103,271,276,264,15,826
Spalding,3,39.30%,23.60%,24.50%,36.20%,22.60%,23.20%,2774,241,833,298,144,1516,69,257,193,56,575,2774,243,840,302,147,1532,68,245,171,50,534
Spalding,5,62.30%,54.40%,58.80%,61.00%,54.20%,58.10%,3715,163,442,201,69,875,237,527,332,94,1190,3715,165,432,198,68,863,231,512,310,92,1145
Spalding,6,80.50%,72.10%,78.70%,80.60%,72.50%,79.50%,2438,62,143,76,11,292,254,370,313,15,952,2438,58,137,72,11,278,253,361,300,14,928
Spalding,7,35.50%,25.20%,18.50%,32.20%,23.70%,18.00%,1705,316,451,182,15,964,71,152,100,4,327,1705,313,458,185,16,972,68,142,88,4,302
Spalding,8,38.90%,23.60%,25.60%,36.00%,22.10%,26.40%,1789,255,476,190,18,939,87,147,121,7,362,1789,255,482,190,15,942,90,137,107,7,341
Spalding,9,28.80%,12.90%,11.50%,29.80%,12.90%,12.10%,1950,375,512,193,26,1106,46,76,78,6,206,1950,370,500,181,24,1075,47,74,77,7,205
Spalding,10,49.50%,32.60%,35.40%,49.10%,33.10%,34.80%,1981,272,471,158,9,910,139,228,155,15,537,1981,275,467,146,8,896,135,231,141,16,523
Spalding,11,54.40%,29.40%,28.10%,54.50%,29.50%,29.20%,2506,414,597,164,20,1195,159,249,196,11,615,2506,406,593,158,20,1177,166,248,189,10,613
Spalding,12,34.60%,15.30%,10.30%,33.80%,15.50%,11.80%,2163,444,621,214,27,1306,51,112,113,3,279,2163,430,612,210,27,1279,59,112,107,2,280
Spalding,13,26.10%,15.20%,9.10%,24.10%,15.70%,10.30%,2586,574,599,226,46,1445,56,107,80,6,249,2586,560,587,217,42,1406,62,109,69,7,247
Spalding,14,43.50%,29.70%,25.60%,43.60%,28.60%,26.70%,1985,366,291,140,20,817,126,123,108,7,364,1985,348,289,133,19,789,128,116,103,6,353
Spalding,16,76.90%,61.60%,65.30%,77.40%,62.00%,65.90%,4596,184,445,196,24,849,338,713,651,53,1755,4596,177,430,183,22,812,332,703,627,52,1714
Spalding,17,58.60%,28.10%,29.10%,60.90%,28.60%,30.30%,2011,259,383,94,19,755,106,150,133,8,397,2011,249,375,81,20,725,110,150,126,7,393
Spalding,19,40.80%,25.20%,25.00%,40.10%,24.60%,26.10%,2664,398,668,252,16,1334,129,225,174,9,537,2664,388,661,243,14,1306,133,216,163,9,521
Spalding,20,35.50%,12.80%,10.60%,32.70%,13.10%,9.90%,2190,469,593,169,21,1252,53,87,93,5,238,2190,460,583,165,20,1228,49,88,80,4,221
Spalding,21,55.90%,30.50%,24.20%,52.50%,29.50%,23.10%,4716,346,1180,679,29,2234,107,517,861,13,1498,4716,339,1188,698,27,2252,100,498,771,10,1379
Stephens,SC1,37.10%,16.00%,19.00%,33.30%,15.20%,19.30%,0,1234,6765,1365,4,9368,291,1288,806,0,2385,0,1204,6766,1379,4,9353,289,1211,687,0,2187
Stewart,2,81.10%,45.10%,58.20%,78.00%,45.70%,59.90%,1256,89,208,48,0,345,118,171,206,6,501,1256,83,200,54,0,337,118,168,192,6,484
Stewart,4,68.00%,61.30%,55.20%,67.30%,60.70%,56.30%,286,42,24,16,1,83,53,38,34,0,125,286,41,24,16,1,82,54,37,33,0,124
Stewart,5,80.00%,57.60%,57.40%,76.00%,54.60%,54.70%,1134,50,209,31,2,292,69,284,124,1,478,1134,51,215,35,2,303,63,259,111,1,434
Stewart,6,58.30%,36.40%,51.00%,54.20%,41.90%,47.50%,217,48,21,10,2,81,52,12,14,0,78,217,50,18,11,2,81,47,13,13,0,73
Sumter,15,65.60%,30.30%,24.90%,62.10%,29.50%,25.60%,1687,298,395,76,1,770,98,172,145,1,416,1687,293,392,83,1,769,100,164,136,1,401
Sumter,17,61.20%,51.70%,38.30%,59.10%,50.80%,39.40%,712,103,86,38,0,227,63,92,60,1,216,712,100,87,38,0,225,64,90,55,1,210
Sumter,28,59.70%,26.80%,24.00%,61.30%,26.80%,23.60%,929,138,276,50,1,465,44,101,74,0,219,929,138,273,48,1,460,43,100,76,0,219
Sumter,29,54.90%,27.40%,14.70%,54.20%,30.70%,17.60%,434,162,82,23,1,268,28,31,28,0,87,434,158,79,22,1,260,34,35,26,0,95
Sumter,C1-27,84.00%,75.60%,78.80%,82.40%,75.30%,79.00%,3064,63,222,83,0,368,234,686,437,0,1357,3064,62,221,89,0,372,233,675,417,0,1325
Sumter,C2-27,56.10%,43.10%,50.20%,53.70%,42.00%,49.60%,3044,134,736,221,0,1091,133,558,282,2,975,3044,134,745,225,0,1104,130,540,261,2,933
Sumter,C3-27,88.60%,80.00%,81.50%,89.90%,77.30%,80.40%,2667,56,178,62,0,296,245,710,481,1,1437,2667,58,198,53,0,309,237,673,471,1,1382
Sumter,E-27,62.40%,41.40%,39.50%,59.90%,40.60%,39.50%,1767,130,486,112,0,728,85,343,186,0,614,1767,127,491,115,0,733,83,336,172,0,591
Sumter,N-26,27.30%,21.80%,6.00%,33.30%,19.80%,4.90%,376,148,79,24,9,260,10,22,9,0,41,376,146,81,20,8,255,8,20,10,0,38
