County,Precinct,Race,Party,Index,Baseline,Perdue,Ossoff
BIBB,GF1,0.178501,0.63592,0.49646,88.95275,10.55079,89.44921
BIBB,GF2,0.260275,0.586348,0.553449,88.42975,11.0168,88.9832
BIBB,GF3,0.227366,1.060819,0.757775,88.70558,10.53664,89.46336
BIBB,GF4,0.909947,1.378972,1.599433,83.11346,15.28711,84.71289
BIBB,GF5,0.053828,1.642634,0.875145,90.06791,9.056944,90.94306
BIBB,HA1,0.434593,1.378504,1.123846,87.046,11.83015,88.16985
BIBB,HA2,1.929073,3.259637,3.558892,61.25,35.19111,64.80889
BIBB,HA3,1.894826,2.415602,3.102627,71.70856,25.18881,74.81119
BIBB,HA4,2.189624,3.629597,4.004423,39.85545,56.14013,43.85987
BIBB,HO1,1.759416,3.63377,3.576301,31.43713,64.98657,35.01343
BIBB,HO2,1.505847,3.543846,3.27777,32.46463,64.2576,35.7424
BIBB,HO3,1.880923,3.599813,3.68083,44.50458,51.81459,48.18541
BIBB,HO4,2.21497,3.598336,4.014138,47.8125,48.17336,51.82664
BIBB,HO5,2.026034,3.064107,3.558088,63.27684,33.16508,66.83492
BIBB,HO6,1.702579,3.613776,3.509467,42.24537,54.24516,45.75484
BIBB,HO7,1.286436,3.629044,3.100958,31.41083,65.48822,34.51178
BIBB,RU1,1.992258,3.630351,3.807434,45.99136,50.20121,49.79879
BIBB,RU2,1.85131,3.629528,3.666074,40.95595,55.37797,44.62203
BIBB,VV1,1.456665,2.162004,2.537667,65.79457,31.66776,68.33224
BIBB,VV2,1.585092,2.040067,2.605125,71.5415,25.85337,74.14663
BIBB,VV3,0.020083,0.932125,0.486146,90.16189,9.351961,90.64804
BIBB,VV4,0.77726,1.066135,1.310327,84.51113,14.17854,85.82146
BIBB,VV5,1.489058,3.498809,3.238462,43.28859,53.47295,46.52705
BIBB,VV6,1.67527,3.377678,3.364109,51.875,44.76089,55.23911
BIBB,WA1,1.927101,3.635234,3.744718,37.05584,59.19944,40.80056
BIBB,WA2,2.030957,3.635444,3.848679,37.72071,58.43062,41.56938
BLECKLEY,1,2.04012,2.718452,3.399347,17.29437,79.30629,20.69371
BRANTLEY,1,0,1.041794,0.520897,5.336257,94.14285,5.857154
BRANTLEY,2,0.18744,1.419869,0.897374,8.23337,90.86926,9.130744
BRANTLEY,3,0.156321,1.636771,0.974707,8.148148,90.87715,9.122855
BROOKS,659,1.135158,2.400012,2.335164,14.10788,83.55695,16.44305
BROOKS,660,2.100151,3.390596,3.795449,22.75542,73.44913,26.55087
BROOKS,1199,3.618987,3.403695,5.320835,49.33884,45.34032,54.65968
BROOKS,1230,1.770182,3.340535,3.440449,30.76923,65.79032,34.20968
BROOKS,1402,3.404299,3.309117,5.058857,40.47619,54.46495,45.53505
BROOKS,1650,1.269425,2.944919,2.741885,16.59973,80.65838,19.34162
BROOKS,1712,2.078717,2.968198,3.562816,18.30986,78.12733,21.87267
BRYAN,1,1.901818,3.10826,3.455948,31.29123,65.25282,34.74718
BRYAN,2,0.876557,2.514404,2.133759,15.48387,82.38237,17.61763
BRYAN,3,1.122405,2.542833,2.393821,18.36918,79.237,20.763
BRYAN,4,1.456508,3.60154,3.257278,37.1547,59.58803,40.41197
BRYAN,5,1.244399,3.61469,3.051743,37.42089,59.52737,40.47263
BRYAN,6,0.268456,2.656597,1.596754,19.2928,79.11044,20.88956
BRYAN,7,0.571771,3.122572,2.133057,24.22498,73.64196,26.35804
BRYAN,8,0.773673,3.440152,2.493749,31.08808,66.41817,33.58183
BRYAN,9,1.208487,3.583009,2.999991,36.73469,60.26531,39.73469
BRYAN,10,0.66867,3.209757,2.273548,19.50739,78.21906,21.78094
BULLOCH,1,1.410779,3.551298,3.186428,32.91139,63.90218,36.09782
BULLOCH,2,0.916057,2.825812,2.328963,25.94752,71.72352,28.27648
BULLOCH,3,2.21761,3.329292,3.882256,31.57895,64.5388,35.4612
BULLOCH,4,0.763644,2.704876,2.116082,22.14876,75.73516,24.26484
BULLOCH,5,0.427706,2.460258,1.657835,17.24806,81.0941,18.9059
BULLOCH,6,0.32305,2.310476,1.478288,16.54501,81.9767,18.0233
BULLOCH,7,1.114297,2.745603,2.487098,18.47134,79.04156,20.95844
BULLOCH,8,0.565094,2.593981,1.862085,14.28571,83.8522,16.1478
BULLOCH,9,2.09046,3.196588,3.688754,35.02304,61.2882,38.7118
BULLOCH,10,1.232254,3.29404,2.879274,30.5813,66.53943,33.46057
BULLOCH,11,2.699513,3.625991,4.512508,45.14313,50.34437,49.65563
BULLOCH,12,2.029646,2.914217,3.486755,24.93438,71.57886,28.42114
BULLOCH,13,1.445736,3.236279,3.063876,35.12,61.81612,38.18388
BULLOCH,14,2.402128,3.634866,4.219561,45.82225,49.95819,50.04181
BULLOCH,15,1.395046,3.625866,3.207979,63.20225,33.58977,66.41023
BULLOCH,16,0.316379,2.163854,1.398305,16.80672,81.79497,18.20503
BURKE,1,3.879832,2.779112,5.269389,22.07792,72.65269,27.34731
